,번호,이름,수능점수,내신점수,1학년점수,1순위,2순위,3순위,4순위,5순위,6순위,7순위,8순위,9순위,10순위,가중Score
48,49,젱썷뀰,64,72,31,전자공학부,토목/환경/자원.에너지공학부(토목공학),항공우주공학과,컴퓨터인공지능학부,도시공학과,화학공학부,기계설계공학부(나노바이오기계시스템공학),소프트웨어공학과,융합기술공학부(IT융합기전공학),기계시스템공학부,54.099999999999994
49,50,헜맡궛,70,79,59,바이오메디컬공학부,토목/환경/자원.에너지공학부(토목공학),양자시스템공학과,기계시스템공학부,건축공학과,기계설계공학부(기계설계공학),유기소재섬유공학과,융합기술공학부(IT응용시스템공학),산업정보시스템공학과,화학공학부,66.7
50,51,걋턏욨,62,96,83,컴퓨터인공지능학부,신소재공학부(금속시스템공학),기계설계공학부(나노바이오기계시스템공학),기계설계공학부(기계설계공학),건축공학과,토목/환경/자원.에너지공학부(환경공학),양자시스템공학과,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),68.3
51,52,튲콰뿊,49,97,74,전자공학부,화학공학부,건축공학과,기계설계공학부(나노바이오기계시스템공학),기계시스템공학부,유기소재섬유공학과,토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계공학과,항공우주공학과,56.5
52,53,잒톾퓤,92,49,70,컴퓨터인공지능학부,바이오메디컬공학부,토목/환경/자원.에너지공학부(환경공학),양자시스템공학과,신소재공학부(정보소재공학),유기소재섬유공학과,기계시스템공학부,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),도시공학과,85.39999999999999
53,54,툨썃횴,72,91,70,컴퓨터인공지능학부,바이오메디컬공학부,기계시스템공학부,융합기술공학부(IT융합기전공학),도시공학과,고분자.나노공학과,화학공학부,신소재공학부(전자재료공학),소프트웨어공학과,융합기술공학부(IT응용시스템공학),71.4
54,55,삛퓐덳,71,65,87,토목/환경/자원.에너지공학부(토목공학),기계시스템공학부,융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),컴퓨터인공지능학부,바이오메디컬공학부,신소재공학부(금속시스템공학),기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,75.8
55,56,늙잒씵,67,40,68,소프트웨어공학과,컴퓨터인공지능학부,고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT응용시스템공학),신소재공학부(정보소재공학),바이오메디컬공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),항공우주공학과,67.3
56,57,쁚깣쉆,62,67,86,컴퓨터인공지능학부,전자공학부,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),양자시스템공학과,신소재공학부(정보소재공학),고분자.나노공학과,도시공학과,신소재공학부(전자재료공학),건축공학과,69.2
57,58,벺삥폺,82,96,46,항공우주공학과,소프트웨어공학과,신소재공학부(금속시스템공학),신소재공학부(전자재료공학),융합기술공학부(IT응용시스템공학),기계공학과,양자시스템공학과,산업정보시스템공학과,융합기술공학부(IT융합기전공학),기계시스템공학부,71.2
58,59,핾홨뎘,81,79,61,기계시스템공학부,기계공학과,컴퓨터인공지능학부,유기소재섬유공학과,융합기술공학부(IT응용시스템공학),화학공학부,토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(금속시스템공학),전기공학과,토목/환경/자원.에너지공학부(환경공학),75.0
59,60,뎼럑뀶,65,80,42,전자공학부,기계시스템공학부,신소재공학부(금속시스템공학),양자시스템공학과,기계설계공학부(나노바이오기계시스템공학),고분자.나노공학과,화학공학부,유기소재섬유공학과,항공우주공학과,전기공학과,58.1
60,61,쬶펪캎,70,60,73,전기공학과,고분자.나노공학과,도시공학과,신소재공학부(정보소재공학),컴퓨터인공지능학부,항공우주공학과,바이오메디컬공학부,토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(자원.에너지공학),소프트웨어공학과,70.9
61,62,술쟼캮,88,51,65,융합기술공학부(IT융합기전공학),소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,기계설계공학부(기계설계공학),기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,고분자.나노공학과,건축공학과,신소재공학부(정보소재공학),81.1
62,63,궭쑻뇏,71,69,80,컴퓨터인공지능학부,신소재공학부(전자재료공학),도시공학과,건축공학과,유기소재섬유공학과,토목/환경/자원.에너지공학부(토목공학),전기공학과,양자시스템공학과,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(나노바이오기계시스템공학),73.69999999999999
63,64,퓛뗔툎,49,48,86,화학공학부,컴퓨터인공지능학부,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(환경공학),건축공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),융합기술공학부(IT융합기전공학),도시공학과,항공우주공학과,60.099999999999994
64,65,섳멝뭐,78,83,80,기계공학과,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(토목공학),신소재공학부(전자재료공학),고분자.나노공학과,기계시스템공학부,신소재공학부(정보소재공학),전자공학부,유기소재섬유공학과,항공우주공학과,78.6
65,66,컴편뒢,77,70,100,건축공학과,바이오메디컬공학부,양자시스템공학과,기계설계공학부(나노바이오기계시스템공학),전자공학부,기계공학과,유기소재섬유공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(토목공학),화학공학부,83.9
66,67,쐎뗴됄,80,92,58,전자공학부,건축공학과,토목/환경/자원.에너지공학부(환경공학),바이오메디컬공학부,기계공학과,항공우주공학과,화학공학부,신소재공학부(전자재료공학),양자시스템공학과,기계설계공학부(나노바이오기계시스템공학),73.4
67,68,여훗딻,38,82,67,전자공학부,화학공학부,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),바이오메디컬공학부,기계설계공학부(기계설계공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),전기공학과,46.699999999999996
68,69,믽똩빗,64,76,36,토목/환경/자원.에너지공학부(자원.에너지공학),전자공학부,소프트웨어공학과,기계설계공학부(기계설계공학),기계공학과,융합기술공학부(IT융합기전공학),양자시스템공학과,컴퓨터인공지능학부,기계시스템공학부,융합기술공학부(IT응용시스템공학),55.599999999999994
69,70,켅븈뾽,74,81,80,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(환경공학),기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,기계시스템공학부,바이오메디컬공학부,융합기술공학부(IT융합기전공학),소프트웨어공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(토목공학),75.8
70,71,몶쨩쵋,84,84,66,컴퓨터인공지능학부,도시공학과,전기공학과,토목/환경/자원.에너지공학부(토목공학),바이오메디컬공학부,화학공학부,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),양자시스템공학과,토목/환경/자원.에너지공학부(환경공학),78.6
71,72,쟐묤뻆,73,65,84,전자공학부,산업정보시스템공학과,항공우주공학과,토목/환경/자원.에너지공학부(토목공학),유기소재섬유공학과,화학공학부,기계공학과,융합기술공학부(IT융합기전공학),컴퓨터인공지능학부,기계설계공학부(기계설계공학),76.3
72,73,놲퓅쥢,75,81,90,컴퓨터인공지능학부,융합기술공학부(IT응용시스템공학),양자시스템공학과,화학공학부,신소재공학부(금속시스템공학),기계시스템공학부,신소재공학부(정보소재공학),전자공학부,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),79.5
73,74,뇦땜풘,73,61,75,항공우주공학과,컴퓨터인공지능학부,융합기술공학부(IT융합기전공학),바이오메디컬공학부,토목/환경/자원.에너지공학부(환경공학),전기공학과,융합기술공학부(IT응용시스템공학),건축공학과,전자공학부,신소재공학부(전자재료공학),73.6
74,75,풼쏠쑵,54,94,61,양자시스템공학과,화학공학부,융합기술공학부(IT응용시스템공학),전기공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계시스템공학부,신소재공학부(정보소재공학),기계설계공학부(나노바이오기계시스템공학),기계설계공학부(기계설계공학),56.099999999999994
75,76,끫쬘몢,70,80,67,컴퓨터인공지능학부,화학공학부,소프트웨어공학과,기계공학과,전자공학부,건축공학과,도시공학과,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,신소재공학부(전자재료공학),69.1
76,77,똃꽂틹,79,81,75,전자공학부,바이오메디컬공학부,전기공학과,토목/환경/자원.에너지공학부(토목공학),양자시스템공학과,건축공학과,고분자.나노공학과,산업정보시스템공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계공학과,77.8
77,78,뷴흖펡,66,82,31,화학공학부,기계설계공학부(나노바이오기계시스템공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,도시공학과,기계설계공학부(기계설계공학),양자시스템공학과,건축공학과,바이오메디컬공학부,55.49999999999999
78,79,똉믖숱,75,66,90,전자공학부,신소재공학부(정보소재공학),도시공학과,기계설계공학부(기계설계공학),융합기술공학부(IT응용시스템공학),전기공학과,유기소재섬유공학과,컴퓨터인공지능학부,화학공학부,소프트웨어공학과,79.5
79,80,딶걤쟻,74,71,36,전자공학부,신소재공학부(전자재료공학),전기공학과,소프트웨어공학과,기계설계공학부(기계설계공학),융합기술공학부(IT응용시스템공학),도시공학과,건축공학과,양자시스템공학과,기계설계공학부(나노바이오기계시스템공학),62.599999999999994
80,81,곻셢굟,59,50,50,전기공학과,융합기술공학부(IT응용시스템공학),기계시스템공학부,신소재공학부(금속시스템공학),기계공학과,소프트웨어공학과,기계설계공학부(기계설계공학),건축공학과,고분자.나노공학과,항공우주공학과,56.3
81,82,꾶윇쭪,68,66,88,기계시스템공학부,유기소재섬유공학과,전자공학부,항공우주공학과,토목/환경/자원.에너지공학부(자원.에너지공학),고분자.나노공학과,기계설계공학부(기계설계공학),전기공학과,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(토목공학),74.0
82,83,낊늭꽑,49,59,70,토목/환경/자원.에너지공학부(환경공학),신소재공학부(정보소재공학),신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(금속시스템공학),기계설계공학부(기계설계공학),건축공학과,도시공학과,전기공학과,항공우주공학과,55.3
83,84,슖홪묾,61,72,55,컴퓨터인공지능학부,기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),화학공학부,바이오메디컬공학부,고분자.나노공학과,융합기술공학부(IT응용시스템공학),신소재공학부(금속시스템공학),도시공학과,기계공학과,59.199999999999996
84,85,찃븪죍,85,58,76,토목/환경/자원.에너지공학부(환경공학),전자공학부,컴퓨터인공지능학부,고분자.나노공학과,융합기술공학부(IT융합기전공학),유기소재섬유공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),도시공학과,건축공학과,82.3
85,86,언멋챣,85,38,63,전자공학부,항공우주공학과,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),기계공학과,도시공학과,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,기계설계공학부(기계설계공학),건축공학과,78.39999999999999
86,87,꾘먨괼,64,84,53,토목/환경/자원.에너지공학부(토목공학),항공우주공학과,산업정보시스템공학과,신소재공학부(금속시스템공학),고분자.나노공학과,기계설계공학부(나노바이오기계시스템공학),기계시스템공학부,전기공학과,토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,60.699999999999996
87,88,쪜튯빀,55,91,81,컴퓨터인공지능학부,신소재공학부(정보소재공학),건축공학과,항공우주공학과,고분자.나노공학과,유기소재섬유공학과,기계시스템공학부,융합기술공학부(IT융합기전공학),산업정보시스템공학과,신소재공학부(금속시스템공학),62.8
88,89,밎쟜쀞,68,58,100,화학공학부,고분자.나노공학과,소프트웨어공학과,양자시스템공학과,유기소재섬유공학과,전자공학부,바이오메디컬공학부,기계시스템공학부,기계설계공학부(나노바이오기계시스템공학),기계공학과,77.6
89,90,틤드궳,69,100,50,전자공학부,기계공학과,융합기술공학부(IT응용시스템공학),신소재공학부(전자재료공학),도시공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(나노바이오기계시스템공학),기계시스템공학부,컴퓨터인공지능학부,63.3
90,91,앰썆흶,71,88,51,전자공학부,산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),기계공학과,건축공학과,토목/환경/자원.에너지공학부(자원.에너지공학),소프트웨어공학과,고분자.나노공학과,융합기술공학부(IT응용시스템공학),유기소재섬유공학과,65.0
91,92,켖밒쫩,59,73,78,고분자.나노공학과,산업정보시스템공학과,전기공학과,컴퓨터인공지능학부,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT융합기전공학),바이오메디컬공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),유기소재섬유공학과,64.69999999999999
92,93,폘렔봥,78,89,82,소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),바이오메디컬공학부,융합기술공학부(IT융합기전공학),항공우주공학과,건축공학과,토목/환경/자원.에너지공학부(환경공학),화학공학부,전자공학부,산업정보시스템공학과,79.19999999999999
93,94,꿣쿀뻂,72,63,58,기계시스템공학부,융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(토목공학),기계설계공학부(기계설계공학),화학공학부,기계공학과,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),전기공학과,전자공학부,67.8
